id;question;alts;correct
1;"The four main divisions of philosophy are metaphysics, epistemology, axiology, and _____.";"1) bioethics.  2) logic.  3) aesthetics.  4) categorical logic. ";2
2;"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____.";"1) the state. 2) the justice system. 3) the body. 4) the soul.";4
3;"For Socrates, the soul is harmed by lack of _____.";"1. knowledge. 2) wealth. 3) community. 4) courage.";1
4;"A question-and-answer dialogue in which propositions are methodically scrutinized to uncover the truth is known as _____.";"1) an argument. 2) the Socratic method. 3) the Socratic jest. 4) a debate.";2
5;"If you assume that a set of statements is true, and yet you can deduce a false or absurd statement from it, then the original set of statements as a whole must be false. This kind of argument is known as _____.";"1) modus tollens. 2) modus ponens. 3) hypothetical syllogism. 4) reductio ad absurdum.";4
6;"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.";"1) the argumentative method. 2) the philosophical method. 3) propositional logic. 4) syllogistic reasoning.";2
7;"The famous statement “An unexamined life is not worth living” is attributed to _____.";"1) Aristotle. 2) John Locke. 3) Socrates. 4) Plato.";3
8;"The study of reality in the broadest sense, an inquiry into the elemental nature of the universe and the things in it, is known as _____.";"1) metaphysics. 2) epistemology. 3) quantum physics. 4) axiology.";1
9;"Questions like 'What is knowledge?' and 'What is truth?' are mainstays in the branch of philosophy known as _____.";"1) logic. 2) metaphysics. 3) epistemology. 4) aesthetics.";3
10;"According to Socrates, a clear sign that a person has _____ is her exclusive pursuit of social status, wealth, power, and pleasure.";"1) philosophical ambition. 2) worldly wisdom. 3) exceptional desires. 4) an unhealthy soul.";4